DogName,Date,LogType,Time,Note,MedName,BRType,FoodName,VolunteerName,Amount
Andy,4/1/2022,Bathroom,6:45AM,,,defecation,,,
Myrtle,4/3/2022,Medicine,7:00AM,,Pimobendan,,,Little,1
Myrtle,4/3/2022,Medicine,7:00AM,,Furosemide,,,Little,1
Andy,4/16/2022,Meal,7:00AM,,,,Purina Pro Plan Chicken and Rice Formula,,2
Minnie,4/16/2022,Meal,7:00AM,,,,JustFood packaged meal,,1
Minnie,4/16/2022,Meal,7:00AM,,,,Roast Beef,,1
Minnie,4/16/2022,Meal,7:00AM,,,,Egg Bite,,1
Andy,4/1/2022,Bathroom,7:45AM,,,urination,,,
Andy,4/1/2022,Bathroom,9:00AM,,,both,,,
Sassy,4/16/2022,Meal,10:00AM,,,,Meat Ball,,2
Andy,4/4/2022,Medicine,7:00PM,,Gabapentin,,,Little,0.5
Myrtle,4/3/2022,Medicine,7:00PM,,Pimobendan,,,Little,1
Myrtle,4/3/2022,Medicine,7:00PM,,Furosemide,,,Little,1
